Selling Company,Product,Price (USD),Company location,Customer,Customer Country,Customer Workplace,Day
Apple,Product21,66,Poland,Lee George,Nepal,McKinsey,2
Ur och Penn,Product712,287,Oman,Patricia Humphrey,Qatar,Ur och Penn,2
Gunnars Grill och Plastikkirurgi,Product47,44,Hungary,Mathew Gilbert,Brazil,Tjuvjakt AB,2
MicroSoft,Product30,233,Liechtenstein,Kimberly Rice,Pakistan,Gunnars Grill och Plastikkirurgi,2
Tjuvjakt AB,Product89,204,South Korea,Tammy Drake,Nepal,Ur och Penn,2
McKinsey,Product510,206,Poland,Christopher Grant,Romania,Goldman Sachs,2
McKinsey,Product50,65,Poland,Robert Steele,Kuwait,Nike,2
MicroSoft,Product311,292,Liechtenstein,Dr. Michelle Benson,Libya,MicroSoft,2
MicroSoft,Product31,141,Liechtenstein,Mark Bond,Nepal,Gunnars Grill och Plastikkirurgi,2
Nike,Product07,166,Kazakhstan,Linda Lewis,Kazakhstan,McKinsey,2
Goldman Sachs,Product67,285,Hong Kong,Angel Golden,Bahrain,Gunnars Grill och Plastikkirurgi,2
Goldman Sachs,Product68,169,Hong Kong,Stephanie English,Liechtenstein,Gunnars Grill och Plastikkirurgi,2
Nike,Product04,288,Kazakhstan,Krista Miller,South Africa,McKinsey,2
Apple,Product218,50,Poland,Mr. David Patrick,Hungary,Apple,2
Nike,Product06,258,Kazakhstan,Katherine Mitchell,Singapore,MicroSoft,2
Apple,Product211,267,Poland,Robert Richardson,Turkey,MicroSoft,2
Ur och Penn,Product71,87,Oman,Angel Golden,Bahrain,Gunnars Grill och Plastikkirurgi,2
Gunnars Grill och Plastikkirurgi,Product410,172,Hungary,Jimmy Bishop,Botswana,Gunnars Grill och Plastikkirurgi,2
Gunnars Grill och Plastikkirurgi,Product414,81,Hungary,Lee George,Nepal,McKinsey,2
Gunnars Grill och Plastikkirurgi,Product46,113,Hungary,Yolanda Castillo,Kuwait,Gunnars Grill och Plastikkirurgi,2
Goldman Sachs,Product66,180,Hong Kong,Linda Harrington,Russian Federation,Gunnars Grill och Plastikkirurgi,2
Tjuvjakt AB,Product813,34,South Korea,Mathew Gilbert,Brazil,Tjuvjakt AB,2
Tjuvjakt AB,Product813,34,South Korea,Jose Porter,Turkey,MicroSoft,2
Ur och Penn,Product70,172,Oman,James Aguirre,India,MicroSoft,2
Tjuvjakt AB,Product84,192,South Korea,Mr. David Patrick,Hungary,Apple,3
Nestlé,Product14,106,Romania,Charles Mason,Singapore,Nestlé,3
Nestlé,Product11,60,Romania,Krista Miller,South Africa,McKinsey,3
MicroSoft,Product310,264,Liechtenstein,Justin Combs,Thailand,Goldman Sachs,3
Nestlé,Product10,281,Romania,James Ross,Iran,Ur och Penn,3
Goldman Sachs,Product64,203,Hong Kong,Teresa Guzman,Malaysia,McKinsey,3
Tjuvjakt AB,Product810,281,South Korea,Carl Little,Thailand,MicroSoft,3
Tjuvjakt AB,Product812,75,South Korea,Derrick Martinez,Turkey,Tjuvjakt AB,3
Ur och Penn,Product70,172,Oman,Cynthia Lane,India,Nestlé,3
MicroSoft,Product312,246,Liechtenstein,Sheila Miller,Philippines,McKinsey,3
Apple,Product212,129,Poland,Dr. Michelle Benson,Libya,MicroSoft,3
Tjuvjakt AB,Product81,44,South Korea,Jennifer Flowers,Philippines,McKinsey,3
Tjuvjakt AB,Product87,113,South Korea,Bruce Mitchell,India,MicroSoft,3
Goldman Sachs,Product63,132,Hong Kong,Elizabeth Munoz,Cook Islands,MicroSoft,3
Tjuvjakt AB,Product84,192,South Korea,Linda Lewis,Kazakhstan,McKinsey,3
Ur och Penn,Product72,167,Oman,Traci Morales,Kazakhstan,Tjuvjakt AB,3
McKinsey,Product50,65,Poland,Angela Anthony,Qatar,Nike,3
Nestlé,Product111,183,Romania,Christopher Grant,Romania,Goldman Sachs,3
Ur och Penn,Product72,167,Oman,Rachel Hall,Qatar,Goldman Sachs,3
Nestlé,Product15,287,Romania,Tara Christensen,Pakistan,Apple,3
MicroSoft,Product313,142,Liechtenstein,Charles Mason,Singapore,Nestlé,3
Nike,Product013,221,Kazakhstan,Yolanda Castillo,Kuwait,Gunnars Grill och Plastikkirurgi,3
Ur och Penn,Product71,87,Oman,Robert Boyle,Pakistan,Apple,3
Goldman Sachs,Product69,201,Hong Kong,Travis Madden,Croatia,Gunnars Grill och Plastikkirurgi,3
Apple,Product212,129,Poland,Andrew Hall,Croatia,Goldman Sachs,3
MicroSoft,Product315,299,Liechtenstein,Janice Moss,India,Nestlé,3
Nike,Product03,68,Kazakhstan,Anthony Cook,Pakistan,Goldman Sachs,3
Nestlé,Product17,92,Romania,Linda Harrington,Russian Federation,Gunnars Grill och Plastikkirurgi,3
Goldman Sachs,Product69,201,Hong Kong,Dr. Jessica Chapman MD,Nepal,MicroSoft,3
Ur och Penn,Product712,287,Oman,Michael Shepherd,Oman,McKinsey,3
Goldman Sachs,Product64,203,Hong Kong,Jose Anderson,Cook Islands,MicroSoft,4
MicroSoft,Product37,224,Liechtenstein,Michael Nguyen,Sri Lanka,Goldman Sachs,4
Goldman Sachs,Product60,161,Hong Kong,David Burgess,Andorra,Nike,4
Ur och Penn,Product711,96,Oman,Dominique Henderson,Indonesia,Nike,4
Ur och Penn,Product712,287,Oman,Sharon Fitzgerald,Oman,Gunnars Grill och Plastikkirurgi,4
Apple,Product20,298,Poland,Krista Miller,South Africa,McKinsey,4
McKinsey,Product56,227,Poland,Bryan Richards,Argentina,McKinsey,4
Apple,Product217,123,Poland,Krista Miller,South Africa,McKinsey,4
Ur och Penn,Product72,167,Oman,Christopher Lopez,Croatia,Nestlé,4
Nike,Product012,152,Kazakhstan,Raymond Farrell,Mauritius,Gunnars Grill och Plastikkirurgi,4
Nestlé,Product17,92,Romania,Brian Washington,Romania,Tjuvjakt AB,4
Nike,Product012,152,Kazakhstan,Yolanda Castillo,Kuwait,Gunnars Grill och Plastikkirurgi,4
MicroSoft,Product317,150,Liechtenstein,Ryan Morgan,Hong Kong,MicroSoft,4
Goldman Sachs,Product64,203,Hong Kong,Chad Gallagher,Kazakhstan,Nike,4
McKinsey,Product51,194,Poland,Mathew Gilbert,Brazil,Tjuvjakt AB,4
Gunnars Grill och Plastikkirurgi,Product48,295,Hungary,Brenda Rosario,Argentina,Nestlé,4
Nike,Product00,164,Kazakhstan,Dominique Henderson,Indonesia,Nike,4
MicroSoft,Product315,299,Liechtenstein,Traci Morales,Kazakhstan,Tjuvjakt AB,4
Tjuvjakt AB,Product85,131,South Korea,Jose Porter,Turkey,MicroSoft,4
Goldman Sachs,Product61,41,Hong Kong,Christopher Lopez,Croatia,Nestlé,4
MicroSoft,Product33,262,Liechtenstein,Austin Davis,Botswana,Gunnars Grill och Plastikkirurgi,4
Apple,Product217,123,Poland,Dr. Jessica Chapman MD,Nepal,MicroSoft,4
MicroSoft,Product316,96,Liechtenstein,Elizabeth Munoz,Cook Islands,MicroSoft,4
McKinsey,Product511,191,Poland,Hannah Ruiz,Brazil,Ur och Penn,4
Gunnars Grill och Plastikkirurgi,Product45,240,Hungary,Jonathan Hamilton,Hong Kong,Ur och Penn,4
Gunnars Grill och Plastikkirurgi,Product411,210,Hungary,Brandon Ferrell,Bulgaria,Nike,4
Nestlé,Product15,287,Romania,Elizabeth Fox,Turkey,MicroSoft,4
Goldman Sachs,Product62,185,Hong Kong,Steven Sutton,Bouvet Island,McKinsey,4
Ur och Penn,Product712,287,Oman,Raymond Farrell,Mauritius,Gunnars Grill och Plastikkirurgi,4
Apple,Product20,298,Poland,Dominique Henderson,Indonesia,Nike,4
McKinsey,Product50,65,Poland,Elizabeth Munoz,Cook Islands,MicroSoft,5
MicroSoft,Product36,289,Liechtenstein,Zachary Luna Jr.,Denmark,Ur och Penn,5
Tjuvjakt AB,Product810,281,South Korea,Ralph Berry,Australia,MicroSoft,5
MicroSoft,Product32,294,Liechtenstein,Yolanda Castillo,Kuwait,Gunnars Grill och Plastikkirurgi,5
Apple,Product21,66,Poland,Victor Wright,Singapore,Goldman Sachs,5
Ur och Penn,Product77,157,Oman,Lisa Carter,Brazil,Ur och Penn,5
Gunnars Grill och Plastikkirurgi,Product415,107,Hungary,Teresa Guzman,Malaysia,McKinsey,5
Ur och Penn,Product79,268,Oman,Krista Miller,South Africa,McKinsey,5
McKinsey,Product511,191,Poland,Carolyn Johnson,Libya,Ur och Penn,5
McKinsey,Product55,89,Poland,Jonathan Hamilton,Hong Kong,Ur och Penn,5
Gunnars Grill och Plastikkirurgi,Product413,27,Hungary,Michael Marquez,Singapore,Tjuvjakt AB,5
MicroSoft,Product34,62,Liechtenstein,Yolanda Castillo,Kuwait,Gunnars Grill och Plastikkirurgi,5
Ur och Penn,Product74,249,Oman,Scott Lopez,Chile,Ur och Penn,5
Gunnars Grill och Plastikkirurgi,Product410,172,Hungary,David Burgess,Andorra,Nike,5
Ur och Penn,Product715,265,Oman,Lisa Austin,Libya,Nike,5
McKinsey,Product52,297,Poland,Angela Anthony,Qatar,Nike,5
Nike,Product011,135,Kazakhstan,John Willis,Hungary,Tjuvjakt AB,5
Apple,Product24,277,Poland,Connie Nelson,Chile,Gunnars Grill och Plastikkirurgi,5
Goldman Sachs,Product60,161,Hong Kong,Brian Washington,Romania,Tjuvjakt AB,5
Apple,Product29,109,Poland,Lisa Richmond,Romania,Gunnars Grill och Plastikkirurgi,5
McKinsey,Product59,298,Poland,Jennifer Flowers,Philippines,McKinsey,5
Nike,Product011,135,Kazakhstan,Jennifer Flowers,Philippines,McKinsey,5
Nike,Product011,135,Kazakhstan,Diana Baker,Cook Islands,Ur och Penn,5
Tjuvjakt AB,Product80,202,South Korea,Andrew Hall,Croatia,Goldman Sachs,5
MicroSoft,Product34,62,Liechtenstein,Sharon Fitzgerald,Oman,Gunnars Grill och Plastikkirurgi,5
Tjuvjakt AB,Product87,113,South Korea,James Aguirre,India,MicroSoft,5
Tjuvjakt AB,Product86,298,South Korea,Nicole Miller,Andorra,Nestlé,5
McKinsey,Product51,194,Poland,Yolanda Simmons,Pakistan,Nike,5
Goldman Sachs,Product64,203,Hong Kong,Kevin Green,South Korea,Ur och Penn,5
Apple,Product215,104,Poland,Elizabeth Munoz,Cook Islands,MicroSoft,5
Nike,Product013,221,Kazakhstan,Jason Johnston,Colombia,Goldman Sachs,6
Nestlé,Product115,298,Romania,Kimberly Rice,Pakistan,Gunnars Grill och Plastikkirurgi,6
MicroSoft,Product316,96,Liechtenstein,Jonathan Lin,Oman,Ur och Penn,6
Gunnars Grill och Plastikkirurgi,Product44,155,Hungary,Chad Gallagher,Kazakhstan,Nike,6
MicroSoft,Product35,90,Liechtenstein,Traci Morales,Kazakhstan,Tjuvjakt AB,6
Tjuvjakt AB,Product812,75,South Korea,Yvonne Carter,Andorra,Nestlé,6
MicroSoft,Product310,264,Liechtenstein,Kelly Salinas,Philippines,McKinsey,6
Goldman Sachs,Product67,285,Hong Kong,Dr. Jessica Chapman MD,Nepal,MicroSoft,6
MicroSoft,Product311,292,Liechtenstein,Katie Bridges,Andorra,Tjuvjakt AB,6
Gunnars Grill och Plastikkirurgi,Product40,38,Hungary,April Roman,Russian Federation,McKinsey,6
Goldman Sachs,Product65,107,Hong Kong,Stephen Contreras,Botswana,McKinsey,6
Nestlé,Product111,183,Romania,Dr. Michelle Benson,Libya,MicroSoft,6
Nestlé,Product110,211,Romania,Lee George,Nepal,McKinsey,6
McKinsey,Product55,89,Poland,Mathew Gilbert,Brazil,Tjuvjakt AB,6
Tjuvjakt AB,Product88,94,South Korea,Justin Combs,Thailand,Goldman Sachs,6
Goldman Sachs,Product66,180,Hong Kong,Steven Sutton,Bouvet Island,McKinsey,6
McKinsey,Product53,62,Poland,William Lewis,Botswana,MicroSoft,6
Gunnars Grill och Plastikkirurgi,Product40,38,Hungary,April Roman,Russian Federation,McKinsey,6
MicroSoft,Product317,150,Liechtenstein,Tammy Drake,Nepal,Ur och Penn,6
Apple,Product24,277,Poland,James Baker,Sri Lanka,Tjuvjakt AB,6
MicroSoft,Product33,262,Liechtenstein,Daniel Chang,Denmark,McKinsey,6
Gunnars Grill och Plastikkirurgi,Product44,155,Hungary,Patricia Humphrey,Qatar,Ur och Penn,6
Nike,Product011,135,Kazakhstan,Ralph Berry,Australia,MicroSoft,6
Ur och Penn,Product70,172,Oman,Mary Hunter,Czech Republic,MicroSoft,6
Ur och Penn,Product715,265,Oman,James Ross,Iran,Ur och Penn,6
Goldman Sachs,Product610,170,Hong Kong,Joel Vargas,Libya,Goldman Sachs,6
Ur och Penn,Product70,172,Oman,Roger Camacho,Indonesia,Goldman Sachs,6
Nestlé,Product10,281,Romania,Diana Baker,Cook Islands,Ur och Penn,6
McKinsey,Product51,194,Poland,Morgan Green,Bulgaria,Apple,6
Nestlé,Product110,211,Romania,Brittney Gonzalez,Malaysia,McKinsey,6
Nike,Product04,288,Kazakhstan,Nancy French,Japan,MicroSoft,7
Goldman Sachs,Product64,203,Hong Kong,Jennifer Dorsey DDS,Canada,McKinsey,7
Apple,Product26,172,Poland,Adam Bowers,Bahrain,McKinsey,7
Tjuvjakt AB,Product82,224,South Korea,Elizabeth Martinez,Philippines,Tjuvjakt AB,7
Nike,Product03,68,Kazakhstan,John Willis,Hungary,Tjuvjakt AB,7
MicroSoft,Product312,246,Liechtenstein,Mr. David Patrick,Hungary,Apple,7
MicroSoft,Product38,137,Liechtenstein,Wayne Gonzalez,South Korea,Gunnars Grill och Plastikkirurgi,7
Nike,Product06,258,Kazakhstan,Ryan Morgan,Hong Kong,MicroSoft,7
Apple,Product216,23,Poland,Joe Booker,Romania,Tjuvjakt AB,7
Nestlé,Product110,211,Romania,Raymond Farrell,Mauritius,Gunnars Grill och Plastikkirurgi,7
Ur och Penn,Product76,43,Oman,Rachel Watson,Sri Lanka,Apple,7
McKinsey,Product56,227,Poland,Allison Scott,Brazil,Nike,7
Gunnars Grill och Plastikkirurgi,Product414,81,Hungary,Scott Lopez,Chile,Ur och Penn,7
Ur och Penn,Product74,249,Oman,Lisa Carter,Brazil,Ur och Penn,7
Goldman Sachs,Product63,132,Hong Kong,Brian Washington,Romania,Tjuvjakt AB,7
McKinsey,Product59,298,Poland,Yolanda Castillo,Kuwait,Gunnars Grill och Plastikkirurgi,7
Gunnars Grill och Plastikkirurgi,Product43,292,Hungary,Rachel Hall,Qatar,Goldman Sachs,7
Ur och Penn,Product71,87,Oman,Laura Gardner,Colombia,Goldman Sachs,7
Ur och Penn,Product78,78,Oman,Patricia Humphrey,Qatar,Ur och Penn,7
Apple,Product20,298,Poland,Austin Davis,Botswana,Gunnars Grill och Plastikkirurgi,7
Tjuvjakt AB,Product86,298,South Korea,Jennifer Dorsey DDS,Canada,McKinsey,7
Apple,Product24,277,Poland,Stephanie English,Liechtenstein,Gunnars Grill och Plastikkirurgi,7
Nike,Product010,275,Kazakhstan,Austin Davis,Botswana,Gunnars Grill och Plastikkirurgi,7
Nike,Product010,275,Kazakhstan,Stephanie Norman,Canada,Gunnars Grill och Plastikkirurgi,7
Nestlé,Product112,296,Romania,Michael Shepherd,Oman,McKinsey,7
Ur och Penn,Product710,26,Oman,Ralph Berry,Australia,MicroSoft,7
Ur och Penn,Product77,157,Oman,Richard Lee,Bulgaria,Nike,7
Apple,Product213,129,Poland,Brandon Ferrell,Bulgaria,Nike,7
Apple,Product211,267,Poland,Adam Bowers,Bahrain,McKinsey,7
McKinsey,Product59,298,Poland,Deborah Fisher,Brazil,Gunnars Grill och Plastikkirurgi,7
Goldman Sachs,Product60,161,Hong Kong,Connie Nelson,Chile,Gunnars Grill och Plastikkirurgi,8
Ur och Penn,Product74,249,Oman,Susan Maxwell,Qatar,Gunnars Grill och Plastikkirurgi,8
Ur och Penn,Product711,96,Oman,Stephen Contreras,Botswana,McKinsey,8
Tjuvjakt AB,Product81,44,South Korea,Rachel Hall,Qatar,Goldman Sachs,8
Nike,Product014,56,Kazakhstan,Zachary Luna Jr.,Denmark,Ur och Penn,8
McKinsey,Product512,45,Poland,Michael Gonzalez,South Africa,Ur och Penn,8
Apple,Product217,123,Poland,Brianna Conway,Pakistan,Nestlé,8
Ur och Penn,Product713,204,Oman,Robert Steele,Kuwait,Nike,8
Gunnars Grill och Plastikkirurgi,Product411,210,Hungary,Terry Simmons,Colombia,McKinsey,8
Apple,Product210,166,Poland,Terry Simmons,Colombia,McKinsey,8
Goldman Sachs,Product60,161,Hong Kong,Michael Reyes,Turkey,Nestlé,8
Tjuvjakt AB,Product81,44,South Korea,Mathew Gilbert,Brazil,Tjuvjakt AB,8
Tjuvjakt AB,Product87,113,South Korea,Michael Nguyen,Sri Lanka,Goldman Sachs,8
MicroSoft,Product310,264,Liechtenstein,Chad Gallagher,Kazakhstan,Nike,8
Goldman Sachs,Product64,203,Hong Kong,Terry Simmons,Colombia,McKinsey,8
Tjuvjakt AB,Product812,75,South Korea,Connie Nelson,Chile,Gunnars Grill och Plastikkirurgi,8
Apple,Product218,50,Poland,Lisa Austin,Libya,Nike,8
MicroSoft,Product314,81,Liechtenstein,Jason Johnston,Colombia,Goldman Sachs,8
MicroSoft,Product316,96,Liechtenstein,Jamie Ramirez,Poland,Apple,8
Goldman Sachs,Product68,169,Hong Kong,David Downs,South Africa,Gunnars Grill och Plastikkirurgi,8
Nike,Product012,152,Kazakhstan,Patricia Humphrey,Qatar,Ur och Penn,8
McKinsey,Product59,298,Poland,Adam Bowers,Bahrain,McKinsey,8
Goldman Sachs,Product610,170,Hong Kong,Anthony Cook,Pakistan,Goldman Sachs,8
Nestlé,Product13,30,Romania,Richard Bailey,Hong Kong,Ur och Penn,8
Apple,Product28,196,Poland,Janice Moss,India,Nestlé,8
Gunnars Grill och Plastikkirurgi,Product46,113,Hungary,Nicholas Woods,Iran,McKinsey,8
Ur och Penn,Product73,95,Oman,Raymond Farrell,Mauritius,Gunnars Grill och Plastikkirurgi,8
Goldman Sachs,Product64,203,Hong Kong,Ryan Morgan,Hong Kong,MicroSoft,8
McKinsey,Product511,191,Poland,Scott Walker,Turkey,Tjuvjakt AB,8
Goldman Sachs,Product64,203,Hong Kong,Katherine Mitchell,Singapore,MicroSoft,8
Tjuvjakt AB,Product810,281,South Korea,Steven Sutton,Bouvet Island,McKinsey,9
MicroSoft,Product314,81,Liechtenstein,Victor Wright,Singapore,Goldman Sachs,9
McKinsey,Product51,194,Poland,Victoria Townsend,Argentina,McKinsey,9
Tjuvjakt AB,Product86,298,South Korea,Scott Walker,Turkey,Tjuvjakt AB,9
Tjuvjakt AB,Product811,225,South Korea,Christopher Grant,Romania,Goldman Sachs,9
MicroSoft,Product39,204,Liechtenstein,James Mcdonald,Botswana,Nestlé,9
Gunnars Grill och Plastikkirurgi,Product411,210,Hungary,Jason Johnston,Colombia,Goldman Sachs,9
Tjuvjakt AB,Product82,224,South Korea,Christopher Lopez,Croatia,Nestlé,9
Apple,Product27,207,Poland,Raymond Farrell,Mauritius,Gunnars Grill och Plastikkirurgi,9
Tjuvjakt AB,Product88,94,South Korea,Christopher Johnson,South Korea,MicroSoft,9
McKinsey,Product58,69,Poland,Chad Maddox,Sweden,Ur och Penn,9
Apple,Product24,277,Poland,Nancy French,Japan,MicroSoft,9
Gunnars Grill och Plastikkirurgi,Product45,240,Hungary,Stephanie English,Liechtenstein,Gunnars Grill och Plastikkirurgi,9
MicroSoft,Product36,289,Liechtenstein,Jason Johnston,Colombia,Goldman Sachs,9
MicroSoft,Product32,294,Liechtenstein,Tara Christensen,Pakistan,Apple,9
Nike,Product08,202,Kazakhstan,Brittney Gonzalez,Malaysia,McKinsey,9
McKinsey,Product54,188,Poland,Jonathan Hamilton,Hong Kong,Ur och Penn,9
McKinsey,Product512,45,Poland,Robert Steele,Kuwait,Nike,9
Tjuvjakt AB,Product812,75,South Korea,Chad Glenn,Libya,Nestlé,9
McKinsey,Product511,191,Poland,Diane Bush,Malaysia,Ur och Penn,9
Gunnars Grill och Plastikkirurgi,Product411,210,Hungary,James Mcdonald,Botswana,Nestlé,9
Goldman Sachs,Product64,203,Hong Kong,Jeremy Cohen,Kuwait,Tjuvjakt AB,9
Nike,Product09,200,Kazakhstan,Rachel Hall,Qatar,Goldman Sachs,9
Ur och Penn,Product79,268,Oman,Michael Nguyen,Sri Lanka,Goldman Sachs,9
Nestlé,Product18,119,Romania,Travis Madden,Croatia,Gunnars Grill och Plastikkirurgi,9
Nestlé,Product11,60,Romania,Robert Richardson,Turkey,MicroSoft,9
Nestlé,Product113,22,Romania,Brianna Conway,Pakistan,Nestlé,9
Apple,Product26,172,Poland,Morgan Green,Bulgaria,Apple,9
Goldman Sachs,Product60,161,Hong Kong,Angela Anthony,Qatar,Nike,9
Ur och Penn,Product711,96,Oman,Brittney Gonzalez,Malaysia,McKinsey,9
Nestlé,Product13,30,Romania,Christopher Ferrell,Cook Islands,Apple,10
Gunnars Grill och Plastikkirurgi,Product417,119,Hungary,Christopher Lopez,Croatia,Nestlé,10
Nike,Product010,275,Kazakhstan,Kimberly Rice,Pakistan,Gunnars Grill och Plastikkirurgi,10
Nestlé,Product12,212,Romania,Jimmy Bishop,Botswana,Gunnars Grill och Plastikkirurgi,10
Goldman Sachs,Product64,203,Hong Kong,Deborah Fisher,Brazil,Gunnars Grill och Plastikkirurgi,10
Goldman Sachs,Product67,285,Hong Kong,Daniel Chang,Denmark,McKinsey,10
Goldman Sachs,Product62,185,Hong Kong,Adam Bowers,Bahrain,McKinsey,10
MicroSoft,Product315,299,Liechtenstein,Deborah Fisher,Brazil,Gunnars Grill och Plastikkirurgi,10
Tjuvjakt AB,Product810,281,South Korea,April Roman,Russian Federation,McKinsey,10
Ur och Penn,Product76,43,Oman,Elizabeth Fox,Turkey,MicroSoft,10
Goldman Sachs,Product60,161,Hong Kong,Kristi Austin PhD,Philippines,Tjuvjakt AB,10
MicroSoft,Product38,137,Liechtenstein,Robert Steele,Kuwait,Nike,10
Tjuvjakt AB,Product84,192,South Korea,Michael Marquez,Singapore,Tjuvjakt AB,10
Tjuvjakt AB,Product85,131,South Korea,John Willis,Hungary,Tjuvjakt AB,10
Nestlé,Product13,30,Romania,Dr. Jessica Chapman MD,Nepal,MicroSoft,10
Goldman Sachs,Product68,169,Hong Kong,Charles Mason,Singapore,Nestlé,10
Gunnars Grill och Plastikkirurgi,Product43,292,Hungary,Terry Simmons,Colombia,McKinsey,10
Nike,Product013,221,Kazakhstan,Michael Marquez,Singapore,Tjuvjakt AB,10
Goldman Sachs,Product67,285,Hong Kong,Kelly Salinas,Philippines,McKinsey,10
Apple,Product215,104,Poland,Elizabeth Fox,Turkey,MicroSoft,10
Apple,Product26,172,Poland,James Mcdonald,Botswana,Nestlé,10
Apple,Product21,66,Poland,Tammy Drake,Nepal,Ur och Penn,10
Goldman Sachs,Product68,169,Hong Kong,Amanda Flores,Colombia,Goldman Sachs,10
MicroSoft,Product37,224,Liechtenstein,Christopher Ferrell,Cook Islands,Apple,10
Apple,Product23,161,Poland,Diane Bush,Malaysia,Ur och Penn,10
Gunnars Grill och Plastikkirurgi,Product48,295,Hungary,Kim Porter,Mexico,Tjuvjakt AB,10
Gunnars Grill och Plastikkirurgi,Product49,63,Hungary,Raymond Farrell,Mauritius,Gunnars Grill och Plastikkirurgi,10
Apple,Product23,161,Poland,Victoria Townsend,Argentina,McKinsey,10
Tjuvjakt AB,Product89,204,South Korea,Adam Bowers,Bahrain,McKinsey,10
McKinsey,Product512,45,Poland,Alexandra Chapman,Poland,MicroSoft,10
Nike,Product04,288,Kazakhstan,Elizabeth Munoz,Cook Islands,MicroSoft,11
Nestlé,Product111,183,Romania,Yolanda Castillo,Kuwait,Gunnars Grill och Plastikkirurgi,11
Tjuvjakt AB,Product812,75,South Korea,Tammy Drake,Nepal,Ur och Penn,11
Tjuvjakt AB,Product81,44,South Korea,Victoria Townsend,Argentina,McKinsey,11
Goldman Sachs,Product69,201,Hong Kong,Kristi Austin PhD,Philippines,Tjuvjakt AB,11
Apple,Product211,267,Poland,Stephanie English,Liechtenstein,Gunnars Grill och Plastikkirurgi,11
Nike,Product05,159,Kazakhstan,Traci Morales,Kazakhstan,Tjuvjakt AB,11
Gunnars Grill och Plastikkirurgi,Product415,107,Hungary,Debbie Alexander,Botswana,McKinsey,11
Gunnars Grill och Plastikkirurgi,Product411,210,Hungary,Bryan Richards,Argentina,McKinsey,11
Gunnars Grill och Plastikkirurgi,Product47,44,Hungary,Michael Shepherd,Oman,McKinsey,11
